Length	Width	Height	Mass	Customers	Pallet
2200	1560	2200	711	1	0
2200	1560	2200	711	1	0
1000	760	1000	711	1	0
1000	760	1000	711	1	0
850	760	850	500	1	0
850	760	850	500	1	0
850	760	850	500	1	0
850	760	850	500	1	0
1000	760	1000	711	1	0
1000	760	1000	711	1	0
850	760	850	500	1	0
850	760	850	500	1	0
850	760	850	500	1	0
850	760	850	500	1	0
850	760	850	500	1	0
850	760	850	500	1	0
850	760	850	500	1	0
850	760	850	500	1	0
850	760	850	500	1	0
850	760	850	500	1	0
850	760	850	500	1	0
700	680	700	150	3	0
700	680	700	150	3	0
700	680	700	150	3	0
700	680	700	150	3	0
700	680	700	150	3	0
700	680	700	150	3	0
850	760	850	500	3	0
850	760	850	500	3	0
850	760	850	500	2	0
850	760	850	500	2	0
850	760	850	500	2	0
700	680	700	150	2	0
700	680	700	150	2	0
1000	760	1000	711	2	0
1000	760	1000	711	2	0
850	760	850	500	3	0
850	760	850	500	3	0
850	760	850	500	3	0
700	680	700	150	3	0
850	760	850	500	3	0
850	760	850	500	3	0
850	760	850	500	2	0
700	680	700	150	2	0
700	680	700	150	2	0
1000	760	1000	711	2	0
1000	760	1000	711	2	0
850	760	850	500	2	0
850	760	850	500	2	0
850	760	850	500	2	0
